model,definition,solution,feedback_workload_uuid,generation_mode,generation_round,candidate_index,parent_solution,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,solution_path,feedback_trace_path,prompt_path,raw_response_path,feedback_error,log_excerpt
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r1_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,1,0,,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r01_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r01_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r01_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r01_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r1_c0_high_5e90db -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r2_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,2,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r1_c0_high,RUNTIME_ERROR,runtime_error,runtime.cuda_launch,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r02_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r02_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r02_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r02_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r2_c0_high_20ec1a -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r3_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,3,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r2_c0_high,PASSED,passed,passed,efficiency.regression,0.125,0.01715265028178692,0.5340160131454468,0.028672000393271446,0.053691274582551185,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r03_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r03_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r03_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r03_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r3_c0_high_28f115 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r4_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,4,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r3_c0_high,PASSED,passed,passed,efficiency.regression,0.125,0.029079128056764603,0.46745599806308746,0.028672000393271446,0.061336255202787876,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r04_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r04_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r04_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r04_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r4_c0_high_140ca6 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r5_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,5,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r4_c0_high,RUNTIME_ERROR,runtime_error,runtime.cuda_launch,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r05_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r05_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r05_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r05_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r5_c0_high_16f3ee -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r6_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,6,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r5_c0_high,RUNTIME_ERROR,runtime_error,runtime.cuda_launch,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r06_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r06_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r06_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r06_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r6_c0_high_6cd8be -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r7_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,7,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r6_c0_high,RUNTIME_ERROR,runtime_error,runtime.cuda_launch,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r07_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r07_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r07_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r07_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r7_c0_high_b65054 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,8,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r7_c0_high,PASSED,passed,passed,efficiency.regression,0.125,0.21509811282157898,0.1884160041809082,0.02969600073993206,0.15760869608199182,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r08_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r08_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r08_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r08_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r9_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,9,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,PASSED,passed,passed,efficiency.regression,0.125,0.5408403873443604,0.22937600314617157,0.028672000393271446,0.125,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r09_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r09_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r09_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r09_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r9_c0_high_9ed55d -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r10_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,sequential,10,0,gpt-5_gemm_n2048_k4096_cuda_optimized_r9_c0_high,PASSED,passed,passed,efficiency.regression,0.125,0.02405719645321369,0.29900801181793213,0.028672000393271446,0.0958904084842048,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r10_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r10_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r10_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260313_104621/generation_rounds/gpt-5/gemm_n2048_k4096/sequential_r10_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r10_c0_high_860060 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimize
