model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,bcc2cc41b7464e54b0c4d11e65da96d8,PASSED,passed,passed,efficiency.regression,0.125,0.06283648312091827,0.18756266434987387,0.030037333257496357,0.1601455884709848,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,ff70a7abf26848aba6424c7571f777d4,PASSED,passed,passed,efficiency.regression,0.125,0.011343791149556637,0.1856853316227595,0.028330666944384575,0.15257353231294268,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,f4513ae887ae4d42946dcf6630671c22,PASSED,passed,passed,efficiency.regression,0.125,0.17340227961540222,0.20445866386095682,0.03174399957060814,0.15525876463809726,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,e5931dc39ece4669b866483e6e2d6773,PASSED,passed,passed,efficiency.regression,0.0,0.0,0.5084159970283508,0.10820266604423523,0.21282309501799865,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,b99854266fd7401a9f296cdf99e56e6c,INCORRECT_NUMERICAL,correctness_error,correctness.nonfinite,,0.25,1380920.375,,,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,75f0b62d01a44f9bac44a61ec9a3f3a1,INCORRECT_NUMERICAL,correctness_error,correctness.nonfinite,,0.25,9.070289611816406,,,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,0d81c8cba4e0419d930c49f025bf248a,INCORRECT_NUMERICAL,correctness_error,correctness.nonfinite,,0.25,720977.8125,,,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,bc6d8e2eb9144c24ae849d16e406d1bf,INCORRECT_NUMERICAL,correctness_error,correctness.nonfinite,,0.25,591659.5625,,,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gemm_n2048_k4096_cuda_optimized_r8_c0_high_c312e4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_gemm_n2048_k4096_cuda_optimized
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,23b29a3363644b318e28b625442e6c07,PASSED,passed,passed,efficiency.regression,0.125,0.3418245315551758,0.21299199759960175,0.031061332672834396,0.14583333187580977,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,f3fc0b3875a240289fa1cee3be00d318,PASSED,passed,passed,efficiency.regression,0.125,1.6507128477096558,0.19285333653291067,0.030549332809944946,0.15840707430400958,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,1a8ac05e5c784f87849356996308c0a4,PASSED,passed,passed,efficiency.regression,0.0,0.0,0.5140480001767477,0.09932799637317657,0.19322708451161008,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,77447ed3b33945febc56a7bb29df6c96,INCORRECT_NUMERICAL,correctness_error,correctness.numerical,,0.25,4254150.5,,,,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,40e6e3afbc0e497ab37e7d1d3be26561,INCORRECT_NUMERICAL,correctness_error,correctness.numerical,,0.25,707626.375,,,,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,3df32230aaa54926baede3b24a2e5497,INCORRECT_NUMERICAL,correctness_error,correctness.numerical,,0.25,175285.34375,,,,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,bedb8548688b46c3966cd45f5968b909,PASSED,passed,passed,efficiency.regression,0.125,0.09038279205560684,0.21282133211692175,0.030549333120385807,0.143544506636216,/data1/workspace/airulan/bench/flashinfer-bench/flashinfer_bench/bench/timing.py:74: UserWarning: CUPTI is not installed. Try 'pip install -U cupti-python'. Falling back to CUDA events for benchmarking.\n  times = bench_gpu_time_with_cupti(\n
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,05961b272663429c878b1d87511f274f,PASSED,passed,passed,efficiency.regression,0.125,0.08478569984436035,0.1861973355213801,0.030037333567937214,0.16131988937343403,/data1/workspace/airulan/bench/flashinfer-bench/flashinfer_bench/bench/timing.py:74: UserWarning: CUPTI is not installed. Try 'pip install -U cupti-python'. Falling back to CUDA events for benchmarking.\n  times = bench_gpu_time_with_cupti(\n
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,584d85771a40498fb56ad8b57c4049a4,PASSED,passed,passed,efficiency.regression,0.125,6.743010520935059,0.19797333081563315,0.034645333886146545,0.17500000501790186,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,0d36b29c950249999521ad20f21a2a86,PASSED,passed,passed,efficiency.regression,0.125,0.1334865689277649,0.18602666755517325,0.030207999981939793,0.16238532022824345,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,b1b357ea7c98484491f5baed129223e1,PASSED,passed,passed,efficiency.regression,0.0,0.0,0.20411733289559683,0.04744533449411392,0.23244147775721502,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,824df7caad214f1fbb8d06ccf92d0447,PASSED,passed,passed,efficiency.regression,0.125,0.24868939816951752,0.18636800348758698,0.03037866639594237,0.16300365850067036,
gpt-5,gemm_n2048_k4096,gpt-5_gemm_n2048_k4096_cuda_optimized_r8_c0_high,bcc2cc41b7464e54b0c4d11e65da96d8,b5b4a32d9b4e4cca8b97cf6ca98796ff,PASSED,passed,passed,efficiency.regression,0.125,0.3279488682746887,0.17868799716234207,0.028672000393271446,0.16045845747110976,/data1/workspace/airulan/bench/flashinfer-bench/flashinfer_bench/bench/timing.py:74: UserWarning: CUPTI is not installed. Try 'pip install -U cupti-python'. Falling back to CUDA events for benchmarking.\n  times = bench_gpu_time_with_cupti(\n
