model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_ecbf91 -DTORC
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f4c23a33-b16b-4ee8-bb86-440562adf047,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_ecbf91 -DTORC
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bad384fa-037d-474f-9a09-0e9f1bb8f43e,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,2068cdff-fad7-43d3-b018-490349ad9776,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,6f3e1bfe-2209-4921-9be4-beed5c9744cb,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,adefedc4-d82a-43ca-800e-51557b08b446,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,fab48473-c925-43b8-90b8-3110ede3e6a7,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,3a919718-bdfb-4030-8771-7e2cca27ada7,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,32f5e961-dd46-4ac3-bb3d-bbc2e30053db,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
gemini-2.5-pro-preview-06-05,gqa_ragged_prefill_causal_h32_kv8_d128,gemini-2.5-pro-preview-06-05_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,daa2d149-ff35-4038-8195-eb293f8566cd,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,Solution skipped after 3 failures. Last error: [1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gemini_2_5_pro_preview_06_05_gqa_ragged_prefill_causal_
