model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,PASSED,passed,passed,efficiency.breakout,0.00390625,0.008577514439821243,0.01979733258485794,0.6159360110759735,31.112070701235496,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f4c23a33-b16b-4ee8-bb86-440562adf047,PASSED,passed,passed,efficiency.breakout,2.384185791015625e-07,1.2973644516023342e-05,0.017237333580851555,0.6676480174064636,38.73267372095961,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bad384fa-037d-474f-9a09-0e9f1bb8f43e,PASSED,passed,passed,efficiency.breakout,0.00390625,0.02867923304438591,0.03515733405947685,0.6144000093142191,17.475728059323778,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,2068cdff-fad7-43d3-b018-490349ad9776,PASSED,passed,passed,efficiency.breakout,0.00390625,1.0153971910476685,0.052565332502126694,1.1037013133366902,20.996753198356284,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,6f3e1bfe-2209-4921-9be4-beed5c9744cb,PASSED,passed,passed,efficiency.regression,0.0078125,4.8715667724609375,60.47522099812826,59.17849604288737,0.9785577475561268,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,adefedc4-d82a-43ca-800e-51557b08b446,PASSED,passed,passed,efficiency.parity,0.015625,6.359615325927734,58.8491096496582,62.42252731323242,1.0607216945990783,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,fab48473-c925-43b8-90b8-3110ede3e6a7,PASSED,passed,passed,efficiency.breakout,0.001953125,0.007298153359442949,0.019626665860414505,0.5829973419507345,29.70434948539048,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,3a919718-bdfb-4030-8771-7e2cca27ada7,PASSED,passed,passed,efficiency.breakout,7.152557373046875e-07,2.5568026558175916e-06,0.016725333407521248,0.5384533206621805,32.193876650616865,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_opus_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_78310a -DTORCH_API_INCLUDE
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,32f5e961-dd46-4ac3-bb3d-bbc2e30053db,PASSED,passed,passed,efficiency.breakout,0.0078125,0.0577826052904129,0.03498666733503342,0.5995519955952963,17.136584912588777,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,daa2d149-ff35-4038-8195-eb293f8566cd,PASSED,passed,passed,efficiency.breakout,0.001953125,0.1357983946800232,0.03481600061058998,0.5986986656983694,17.19607810198232,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,ef683298-131d-4c81-9d1d-4db82b7f7896,PASSED,passed,passed,efficiency.breakout,0.0009765625,0.029800014570355415,0.033450666815042496,0.5973333418369293,17.85714303214767,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,568a6016-6234-4700-ae5e-061593e16640,PASSED,passed,passed,efficiency.breakout,0.00390625,0.022017814218997955,0.025599999353289604,0.5855573415756226,22.87333423312678,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,b8f94163-51d0-4a6f-8af1-6721221cfd67,PASSED,passed,passed,efficiency.breakout,0.00390625,0.0076923067681491375,0.01979733258485794,0.5748053193092346,29.034483147940673,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bdc49f9e-f294-40c8-925e-a3b3ac6fc335,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,9.063853099178232e-07,0.01706666685640812,0.5387946565945944,31.569999058854894,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,da9042ea-dc64-44aa-ba6d-1a90b834f6d8,PASSED,passed,passed,efficiency.breakout,0.001953125,0.466229110956192,0.03481600061058998,0.5758293370405833,16.53921550269715,
claude-opus-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-opus-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,58701318-6136-4577-afb1-7a3b9418bd79,PASSED,passed,passed,efficiency.breakout,0.0078125,0.010407572612166405,0.03481600061058998,0.574293335278829,16.49509780581019,
