model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,PASSED,passed,passed,efficiency.breakout,0.00048828125,0.019693369045853615,0.1259520004192988,0.5845333337783813,4.6409213972977685,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f4c23a33-b16b-4ee8-bb86-440562adf047,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,5.741058430430712e-06,0.06365866586565971,0.5497173368930817,8.63538890452342,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bad384fa-037d-474f-9a09-0e9f1bb8f43e,PASSED,passed,passed,efficiency.regression,0.00390625,0.01376125868409872,1.070250670115153,0.586410661538442,0.5479189856291774,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,2068cdff-fad7-43d3-b018-490349ad9776,PASSED,passed,passed,efficiency.regression,0.00390625,1.5481209754943848,3.690666596094767,1.066154678662618,0.28887862149096755,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,6f3e1bfe-2209-4921-9be4-beed5c9744cb,TIMEOUT,timeout,timeout.execution,,,,,,,Evaluation timeout after 300 seconds for solution gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,adefedc4-d82a-43ca-800e-51557b08b446,TIMEOUT,timeout,timeout.execution,,,,,,,Evaluation timeout after 300 seconds for solution gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,fab48473-c925-43b8-90b8-3110ede3e6a7,PASSED,passed,passed,efficiency.breakout,0.0009765625,0.004694835282862186,0.12509866803884506,0.5768533249696096,4.6111867857017295,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,3a919718-bdfb-4030-8771-7e2cca27ada7,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,3.32875206368044e-05,0.06229333207011223,0.5591040054957072,8.975342735983778,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,32f5e961-dd46-4ac3-bb3d-bbc2e30053db,PASSED,passed,passed,efficiency.regression,0.00390625,0.03588289022445679,1.0618879795074463,0.6075733502705892,0.5721633185379972,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,daa2d149-ff35-4038-8195-eb293f8566cd,PASSED,passed,passed,efficiency.regression,0.00390625,0.040661025792360306,1.0600106318791707,0.6091093222300211,0.5746256725276438,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,ef683298-131d-4c81-9d1d-4db82b7f7896,PASSED,passed,passed,efficiency.speedup,0.00390625,0.012534355744719505,0.3705173432826996,0.6091093222300211,1.6439428093525954,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,568a6016-6234-4700-ae5e-061593e16640,PASSED,passed,passed,efficiency.speedup,0.00390625,0.10785873979330063,0.36778666575749713,0.5898240208625793,1.6037123576728152,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,b8f94163-51d0-4a6f-8af1-6721221cfd67,PASSED,passed,passed,efficiency.breakout,0.001953125,0.00861446000635624,0.12612266590197882,0.5939199924468994,4.709066274483031,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bdc49f9e-f294-40c8-925e-a3b3ac6fc335,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,2.3269728899322217e-06,0.06365866586565971,0.5422080159187317,8.517426630695736,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high_5fe0ca -DTORCH_API_INCLUDE_EXTE
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,da9042ea-dc64-44aa-ba6d-1a90b834f6d8,PASSED,passed,passed,efficiency.regression,0.001953125,0.18212559819221497,0.8787626723448435,0.5884586671988169,0.6696445874613736,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,58701318-6136-4577-afb1-7a3b9418bd79,PASSED,passed,passed,efficiency.regression,0.00390625,0.26933377981185913,0.8787626624107361,0.5891413390636444,0.6704214508243161,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,2328b031-69cc-4217-8e14-e341dd418733,PASSED,passed,passed,efficiency.regression,0.0078125,0.4368368089199066,112.09045282999675,7.469738642374675,0.06664027536496564,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,012bb8e4-3c30-414f-ab5e-8d63cbbce70f,PASSED,passed,passed,efficiency.regression,0.00390625,0.10660530626773834,4.745898723602295,0.6099626620610555,0.12852416319539023,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,370287f0-5dc3-4c0a-9a00-9162fb2ddbd4,PASSED,passed,passed,efficiency.regression,0.00390625,0.02357502467930317,4.739413420359294,0.6116693417231241,0.12906013623870644,
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,7a08a0f6-7dd4-4de9-bb5b-847c51969faa,TIMEOUT,timeout,timeout.execution,,,,,,,Evaluation timeout after 300 seconds for solution gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high
gpt-5,gqa_ragged_prefill_causal_h32_kv8_d128,gpt-5_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_high,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,dc8c1d18-3976-48c0-bdf1-f9bcb999cdd4,PASSED,passed,passed,efficiency.breakout,0.00390625,0.38243529200553894,0.8444586594899496,2.431829293568929,2.879749371079629,
