model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,4b7f0d02-8404-4eb4-be5c-64b0fd639684,PASSED,passed,passed,efficiency.breakout,0.001953125,0.005524862091988325,0.013311999849975109,0.06809600070118904,5.115384725707939,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,6abd9329-a1de-4704-9378-d7d70388cbfd,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.013311999849975109,0.07014400139451027,5.2692309333703475,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,52688c58-7dd4-4ce5-8ed7-bc8aabac4d7b,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.012629333573083082,0.06912000104784966,5.472972952045959,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,e971e0cc-d914-424e-a3ea-187e9cec413f,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.012970666711529097,0.06963200122117996,5.368421128212856,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,3b02c1b8-29dc-4c13-86a0-b7834daad8a1,PASSED,passed,passed,efficiency.breakout,0.001953125,0.004975124262273312,0.014336000196635723,0.06912000104784966,4.82142857838899,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,ae6aa520-b8be-4e28-b3c4-fa484a2c17c2,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.013311999849975109,0.06621866673231125,4.97435903535073,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,1e5d6f59-edbc-4d45-8edf-5599001cc270,PASSED,passed,passed,efficiency.breakout,0.0009765625,0.004424778278917074,0.01740800030529499,0.06809600070118904,3.911764677558989,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,a978e7eb-89fa-444f-96b1-ceb4cbb02f4c,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.013311999849975109,0.06877866759896278,5.166666794928742,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_2025_08_07_rmsnorm_h128_cuda_optimized_r4_c0_high_2fcc13 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_2025_08_07_rmsnorm_h128_
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,f2872f89-5d8d-403a-9603-5918541cb9e0,PASSED,passed,passed,efficiency.breakout,0.03125,0.0078125,0.9089706738789877,1.8966186841328938,2.0865565178678063,
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,16ce2b65-3a33-4e46-8924-57859152abf0,PASSED,passed,passed,efficiency.speedup,0.015625,0.007633587811142206,0.1525759994983673,0.28330667813618976,1.8568233474965463,
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,a11c12ed-feb2-4b09-a091-5964a86b6b17,PASSED,passed,passed,efficiency.speedup,0.03125,0.007812495343387127,0.8156160016854604,1.4590293566385906,1.788867988886344,
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,d5201e02-7338-405c-9c4d-ff95a03a00cc,PASSED,passed,passed,efficiency.speedup,0.015625,0.007575756870210171,0.11980800330638885,0.2184533327817917,1.82336176843824,
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,1a7fa8e1-ba96-443e-b697-6f2436a130d6,PASSED,passed,passed,efficiency.breakout,0.00390625,0.005347593687474728,0.016383999958634377,0.06656000018119812,4.062500021316282,
gpt-5-2025-08-07,rmsnorm_h128,gpt-5-2025-08-07_rmsnorm_h128_cuda_optimized_r4_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,d48fe9d2-1e43-418c-835c-0948ee76535b,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.012629333573083082,0.06638933345675468,5.256756666737378,
