model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,4b7f0d02-8404-4eb4-be5c-64b0fd639684,PASSED,passed,passed,efficiency.breakout,0.001953125,0.004065040498971939,0.009557333464423815,0.06656000018119812,6.964285637721111,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,6abd9329-a1de-4704-9378-d7d70388cbfd,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.008874666877090931,0.06758400052785873,7.615384494298046,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,52688c58-7dd4-4ce5-8ed7-bc8aabac4d7b,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.008704000152647495,0.0674133338034153,7.745097957392635,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,e971e0cc-d914-424e-a3ea-187e9cec413f,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.008874666877090931,0.06656000018119812,7.499999842587459,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,3b02c1b8-29dc-4c13-86a0-b7834daad8a1,PASSED,passed,passed,efficiency.breakout,0.00048828125,0.004830917343497276,0.009898666602869829,0.0655359998345375,6.620689681127078,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,ae6aa520-b8be-4e28-b3c4-fa484a2c17c2,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009045333601534367,0.06536533311009407,7.226414855390861,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,1e5d6f59-edbc-4d45-8edf-5599001cc270,PASSED,passed,passed,efficiency.breakout,0.00048828125,0.0055555542930960655,0.011605333536863327,0.06621866673231125,5.705882258529964,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,a978e7eb-89fa-444f-96b1-ceb4cbb02f4c,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.008874666877090931,0.06638933345675468,7.4807690673023615,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_high_21b5ac -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h128_cuda_optimized_r2_c0_h
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,f2872f89-5d8d-403a-9603-5918541cb9e0,PASSED,passed,passed,efficiency.breakout,0.03125,0.007751937955617905,0.4126720031102498,1.8973013559977214,4.597601343677383,
gpt-5,rmsnorm_h128,gpt-5_rmsnorm_h128_cuda_optimized_r2_c0_high,4b7f0d02-8404-4eb4-be5c-64b0fd639684,16ce2b65-3a33-4e46-8924-57859152abf0,PASSED,passed,passed,efficiency.breakout,0.015625,0.007633587811142206,0.07065600156784058,0.28381867706775665,4.016908270633561,
