model,definition,solution,feedback_workload_uuid,benchmark_workload_uuid,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,log_excerpt
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,PASSED,passed,passed,efficiency.breakout,0.00048828125,0.007352940272539854,0.06365866586565971,0.5910186767578125,9.284182580971022,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,f4c23a33-b16b-4ee8-bb86-440562adf047,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,3.9350752558675595e-06,0.06229333207011223,0.5503999988238016,8.835616598648421,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,bad384fa-037d-474f-9a09-0e9f1bb8f43e,PASSED,passed,passed,efficiency.breakout,0.00390625,0.02388131432235241,0.0846506655216217,0.5932373305161794,7.0080645776453245,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,2068cdff-fad7-43d3-b018-490349ad9776,PASSED,passed,passed,efficiency.breakout,0.00390625,0.10948528349399567,0.13260799646377563,1.060693343480428,7.998713288532161,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,6f3e1bfe-2209-4921-9be4-beed5c9744cb,PASSED,passed,passed,efficiency.regression,0.0078125,4.78392219543457,156.91929372151694,59.27458127339681,0.37773928156081815,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,adefedc4-d82a-43ca-800e-51557b08b446,PASSED,passed,passed,efficiency.regression,0.0078125,5.947310447692871,147.37920125325522,60.50815963745117,0.4105610501543867,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,fab48473-c925-43b8-90b8-3110ede3e6a7,PASSED,passed,passed,efficiency.breakout,0.001953125,0.020188065245747566,0.0604160005847613,0.5739519993464152,9.499999897232238,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,3a919718-bdfb-4030-8771-7e2cca27ada7,PASSED,passed,passed,efficiency.breakout,4.76837158203125e-07,4.9094051064457744e-06,0.062463998794555664,0.5509120027224222,8.819672344935423,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_claude_sonnet_4_6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0_7a679d -DTORCH_API_INCLU
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,32f5e961-dd46-4ac3-bb3d-bbc2e30053db,PASSED,passed,passed,efficiency.breakout,0.0078125,0.0075187599286437035,0.08533333241939545,0.5906773507595062,6.922000278349038,
claude-sonnet-4-6,gqa_ragged_prefill_causal_h32_kv8_d128,claude-sonnet-4-6_gqa_ragged_prefill_causal_h32_kv8_d128_cuda_optimized_r4_c0,f7a038e9-6c18-4fd6-9b79-e349a4c79bd8,daa2d149-ff35-4038-8195-eb293f8566cd,PASSED,passed,passed,efficiency.breakout,0.00390625,0.7498237490653992,0.08396799862384796,0.5915306707223257,7.044715610910411,
