model,definition,solution,feedback_workload_uuid,generation_mode,generation_round,candidate_index,parent_solution,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,solution_path,feedback_trace_path,prompt_path,raw_response_path,feedback_error,log_excerpt
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r1_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,1,0,,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009728000033646822,0.0727040022611618,7.473684417115139,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r01_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r01_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r01_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r01_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r1_c0_high_18319a -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r1_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r2_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,2,0,gpt-5_rmsnorm_h2048_cuda_optimized_r1_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.016896000131964684,0.06963200122117996,4.121212161300042,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r02_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r02_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r02_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r02_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r2_c0_high_ef530c -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r2_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r3_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,3,0,gpt-5_rmsnorm_h2048_cuda_optimized_r2_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009216000325977802,0.06758400052785873,7.333333131223407,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r03_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r03_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r03_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r03_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r3_c0_high_390694 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r3_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r4_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,4,0,gpt-5_rmsnorm_h2048_cuda_optimized_r3_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009216000325977802,0.06758400052785873,7.333333131223407,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r04_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r04_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r04_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r04_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r4_c0_high_381bbb -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r4_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r5_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,5,0,gpt-5_rmsnorm_h2048_cuda_optimized_r4_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009216000325977802,0.06604800000786781,7.166666414029258,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r05_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r05_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r05_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r05_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r5_c0_high_3f2483 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r5_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r6_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,6,0,gpt-5_rmsnorm_h2048_cuda_optimized_r5_c0_high,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r06_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r06_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r06_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r06_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r6_c0_high_9e0f8d -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r6_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r7_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,7,0,gpt-5_rmsnorm_h2048_cuda_optimized_r6_c0_high,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r07_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r07_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r07_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r07_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r7_c0_high_fd8a31 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r7_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r8_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,8,0,gpt-5_rmsnorm_h2048_cuda_optimized_r7_c0_high,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r08_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r08_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r08_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r08_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r8_c0_high_f07ff0 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r8_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r9_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,9,0,gpt-5_rmsnorm_h2048_cuda_optimized_r8_c0_high,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r09_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r09_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r09_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r09_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r9_c0_high_1b92be -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r9_c0
gpt-5,rmsnorm_h2048,gpt-5_rmsnorm_h2048_cuda_optimized_r10_c0_high,50bbd632-cf16-4021-885b-625552ab8262,sequential,10,0,gpt-5_rmsnorm_h2048_cuda_optimized_r9_c0_high,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r10_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r10_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r10_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260312_184155/generation_rounds/gpt-5/rmsnorm_h2048/sequential_r10_c00/raw_response.txt,,[1/3] c++ -MMD -MF main.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_rmsnorm_h2048_cuda_optimized_r10_c0_high_ffac28 -DTORCH_API_INCLUDE_EXTENSION_H -I/home/airulan/.cache/flashinfer_bench/cache/torch/torch_gpt_5_rmsnorm_h2048_cuda_optimized_r10_
